label,laplacian,gradient,moire,texture
real,514.26,47.29,6.426,5.819
real,486.06,45.69,6.364,5.778
real,285.40,38.79,6.265,5.769
real,310.49,32.36,5.532,5.179
real,345.39,35.81,6.080,5.665
real,427.37,49.67,6.333,5.915
real,340.97,43.67,6.086,5.771
real,297.54,39.31,6.142,5.502
real,241.61,38.76,6.089,5.412
real,269.68,41.87,6.077,5.656
real,278.91,35.01,5.598,5.332
real,348.67,34.06,5.915,5.704
real,177.84,34.95,5.625,5.297
real,243.21,36.41,6.066,5.352
real,288.85,37.69,5.796,5.510
real,347.10,37.98,5.930,5.531
real,370.84,41.89,6.128,5.664
real,142.13,31.84,5.670,5.255
real,190.33,32.51,6.011,5.246
real,335.66,32.65,5.651,5.467
real,350.40,32.75,5.886,5.547
real,195.40,34.64,5.589,5.424
real,593.30,54.01,6.588,5.791
real,385.69,40.45,6.319,5.862
real,518.53,40.69,6.142,5.667
real,493.91,44.45,6.410,5.713
real,481.52,50.44,6.479,6.234
real,374.89,48.50,6.374,5.851
real,358.85,46.65,6.428,5.815
real,351.85,47.89,6.261,5.768
real,407.70,49.26,6.387,5.923
real,390.26,47.61,6.343,5.785
real,315.46,36.42,6.143,5.672
real,391.61,47.65,6.390,5.767
real,385.58,41.75,6.347,5.791
real,530.24,49.08,6.594,5.819
real,488.69,54.08,6.485,5.895
real,244.48,45.78,5.970,5.692
real,646.76,55.54,6.588,6.089
real,1052.52,70.51,6.914,6.049
real,1040.48,71.95,6.908,6.059
real,1041.61,72.18,6.924,6.099
real,1061.43,72.53,6.935,6.154
real,990.39,68.75,6.800,5.931
real,913.26,64.09,6.804,6.065
real,843.92,69.70,6.713,6.014
real,1000.35,69.73,6.843,6.057
real,734.07,61.03,6.465,5.716
real,780.80,69.05,6.633,5.995
real,994.57,66.47,6.708,5.912
real,840.72,57.23,6.618,5.967
real,946.59,60.37,6.807,6.087
real,1150.96,63.18,6.947,6.173
real,710.85,60.91,6.710,6.069
real,476.55,50.58,6.294,5.866
real,502.66,57.09,6.319,5.879
real,982.77,68.29,6.985,6.281
real,675.94,65.08,6.594,5.995
real,600.43,57.31,6.409,5.904
real,935.43,64.52,6.762,6.140
real,993.86,65.76,6.803,6.189
real,754.06,62.09,6.693,6.036
real,781.67,63.11,6.744,6.063
real,1201.63,69.61,6.968,6.221
real,1201.63,69.61,6.968,6.221
real,802.16,64.53,6.755,6.059
real,1170.15,69.87,6.945,6.228
real,1121.51,71.61,6.958,6.192
real,1124.73,71.43,6.969,6.206
real,1143.53,71.08,6.970,6.199
real,1148.62,71.06,6.981,6.194
real,1002.09,69.18,6.872,6.144
real,875.01,65.23,6.723,6.060
real,676.42,62.16,6.497,6.007
real,821.40,62.16,6.813,6.262
real,978.73,68.06,6.912,6.293
real,875.32,66.11,6.843,6.181
real,1064.74,67.13,6.962,6.222
real,827.80,64.91,6.737,6.068
real,796.90,52.52,6.484,5.846
real,738.21,51.92,6.476,5.634
real,640.59,55.89,6.518,6.118
real,611.58,39.77,6.251,5.937
real,491.22,37.83,6.251,5.975
real,315.68,39.83,6.154,5.796
real,379.90,41.88,6.154,5.902
